C(%);Mn(%);Si(%);S(%);P(%);Ti(ppm);B(ppm);Al(ppm);N(ppm);O(ppm);Cr(%);Ni(%);Mo(%);V(ppm);Cu(%);Nb(ppm);Temp;-70;Ref;;;;;;;;;;;;;;;;;;;;
0.071;1.44;0.52;0.005;0.005;460;2;300;67;466;0.03;0.03;0.005;5;0.03;5;-70;18;AlTiN;;;;;;;;;;;;;;;;;;;;
0.069;1.41;0.54;0.005;0.005;460;2;420;58;439;0.03;0.03;0.005;5;0.03;5;-70;15;AlTiN;;;;;;;;;;;;;;;;;;;;
0.067;1.40;0.57;0.005;0.005;450;2;500;60;451;0.03;0.03;0.005;5;0.03;5;-70;38;AlTiN;;;;;;;;;;;;;;;;;;;;
0.066;1.48;0.47;0.007;0.005;410;2;2;164;285;0.03;0.03;0.005;5;0.03;5;-70;34;AlTiN;;;;;;;;;;;;;;;;;;;;
0.073;1.40;0.49;0.004;0.005;420;2;46;183;375;0.03;0.03;0.005;5;0.03;5;-70;25;AlTiN;;;;;;;;;;;;;;;;;;;;
0.067;1.32;0.56;0.004;0.005;410;2;130;160;421;0.03;0.03;0.005;5;0.03;5;-70;12;AlTiN;;;;;;;;;;;;;;;;;;;;
0.064;1.42;0.64;0.004;0.005;420;2;250;148;439;0.03;0.03;0.005;5;0.03;5;-70;15;AlTiN;;;;;;;;;;;;;;;;;;;;
0.068;1.39;0.69;0.004;0.005;410;2;380;149;423;0.03;0.03;0.005;5;0.03;5;-70;8;AlTiN;;;;;;;;;;;;;;;;;;;;
0.065;1.46;0.72;0.006;0.005;490;2;590;147;433;0.03;0.03;0.005;5;0.03;5;-70;50;AlTiN;;;;;;;;;;;;;;;;;;;;
0.068;1.46;0.47;0.007;0.005;450;2;7;249;297;0.03;0.03;0.005;5;0.03;5;-70;20;AlTiN;;;;;;;;;;;;;;;;;;;;
0.066;1.32;0.50;0.008;0.005;440;2;52;239;351;0.03;0.03;0.005;5;0.03;5;-70;3;AlTiN;;;;;;;;;;;;;;;;;;;;
0.064;1.36;0.57;0.007;0.005;400;2;133;243;388;0.03;0.03;0.005;5;0.03;5;-70;6;AlTiN;;;;;;;;;;;;;;;;;;;;
0.063;1.47;0.65;0.007;0.005;440;2;279;248;416;0.03;0.03;0.005;5;0.03;5;-70;4;AlTiN;;;;;;;;;;;;;;;;;;;;
0.066;1.45;0.70;0.006;0.005;410;2;370;242;411;0.03;0.03;0.005;5;0.03;5;-70;3;AlTiN;;;;;;;;;;;;;;;;;;;;
0.066;1.39;0.56;0.004;0.005;450;2;540;250;383;0.03;0.03;0.005;5;0.03;5;-70;13;AlTiN;;;;;;;;;;;;;;;;;;;;
0.074;1.49;0.29;0.006;0.013;5;2;6;72;471;0.03;0.03;0.005;5;0.03;5;-70;3;AlTi;;;;;;;;;;;;;;;;;;;;
0.081;1.43;0.29;0.006;0.013;5;2;60;54;461;0.03;0.03;0.005;5;0.03;5;-70;3;AlTi;;;;;;;;;;;;;;;;;;;;
0.076;1.36;0.34;0.005;0.011;5;2;150;57;476;0.03;0.03;0.005;5;0.03;5;-70;18;AlTi;;;;;;;;;;;;;;;;;;;;
0.079;1.37;0.39;0.005;0.011;5;2;250;47;446;0.03;0.03;0.005;5;0.03;5;-70;10;AlTi;;;;;;;;;;;;;;;;;;;;
0.078;1.40;0.44;0.004;0.011;5;2;420;44;436;0.03;0.03;0.005;5;0.03;5;-70;14;AlTi;;;;;;;;;;;;;;;;;;;;
0.081;1.42;0.48;0.004;0.006;4;2;660;46;444;0.03;0.03;0.005;5;0.03;5;-70;37;AlTi;;;;;;;;;;;;;;;;;;;;
0.069;1.36;0.30;0.007;0.009;37;2;5;68;432;0.03;0.03;0.005;5;0.03;5;-70;110;AlTi;;;;;;;;;;;;;;;;;;;;
0.073;1.39;0.33;0.007;0.008;39;2;20;66;427;0.03;0.03;0.005;5;0.03;5;-70;98;AlTi;;;;;;;;;;;;;;;;;;;;
0.078;1.39;0.32;0.007;0.009;42;2;44;66;436;0.03;0.03;0.005;5;0.03;5;-70;66;AlTi;;;;;;;;;;;;;;;;;;;;
0.080;1.41;0.33;0.006;0.009;43;2;78;55;432;0.03;0.03;0.005;5;0.03;5;-70;41;AlTi;;;;;;;;;;;;;;;;;;;;
0.080;1.42;0.37;0.006;0.009;43;2;120;54;439;0.03;0.03;0.005;5;0.03;5;-70;53;AlTi;;;;;;;;;;;;;;;;;;;;
0.076;1.36;0.37;0.005;0.009;36;2;190;53;422;0.03;0.03;0.005;5;0.03;5;-70;43;AlTi;;;;;;;;;;;;;;;;;;;;
0.078;1.31;0.44;0.005;0.008;36;2;340;50;431;0.03;0.03;0.005;5;0.03;5;-70;74;AlTi;;;;;;;;;;;;;;;;;;;;
0.076;1.30;0.51;0.005;0.008;43;2;490;48;423;0.03;0.03;0.005;5;0.03;5;-70;68;AlTi;;;;;;;;;;;;;;;;;;;;
0.079;1.32;0.57;0.004;0.008;38;2;610;52;422;0.03;0.03;0.005;5;0.03;5;-70;33;AlTi;;;;;;;;;;;;;;;;;;;;
0.074;1.50;0.32;0.006;0.006;99;2;8;89;375;0.03;0.03;0.005;5;0.03;5;-70;34;AlTi;;;;;;;;;;;;;;;;;;;;
0.074;1.41;0.27;0.007;0.006;88;2;47;70;407;0.03;0.03;0.005;5;0.03;5;-70;10;AlTi;;;;;;;;;;;;;;;;;;;;
0.071;1.36;0.39;0.005;0.009;92;2;160;52;381;0.03;0.03;0.005;5;0.03;5;-70;26;AlTi;;;;;;;;;;;;;;;;;;;;
0.069;1.36;0.45;0.005;0.008;63;2;280;44;374;0.03;0.03;0.005;5;0.03;5;-70;19;AlTi;;;;;;;;;;;;;;;;;;;;
0.069;1.39;0.51;0.004;0.008;69;2;480;41;379;0.03;0.03;0.005;5;0.03;5;-70;27;AlTi;;;;;;;;;;;;;;;;;;;;
0.072;1.40;0.57;0.004;0.008;80;2;640;38;360;0.03;0.03;0.005;5;0.03;5;-70;26;AlTi;;;;;;;;;;;;;;;;;;;;
0.081;1.54;0.34;0.007;0.008;180;2;3;80;312;0.03;0.03;0.005;5;0.03;5;-70;23;AlTi;;;;;;;;;;;;;;;;;;;;
0.072;1.32;0.24;0.006;0.008;180;2;47;68;397;0.03;0.03;0.005;5;0.03;5;-70;6;AlTi;;;;;;;;;;;;;;;;;;;;
0.072;1.33;0.34;0.006;0.008;190;2;150;57;427;0.03;0.03;0.005;5;0.03;5;-70;15;AlTi;;;;;;;;;;;;;;;;;;;;
0.074;1.36;0.41;0.005;0.005;260;2;320;49;418;0.03;0.03;0.005;5;0.03;5;-70;22;AlTi;;;;;;;;;;;;;;;;;;;;
0.066;1.41;0.46;0.004;0.009;240;2;440;49;407;0.03;0.03;0.005;5;0.03;5;-70;24;AlTi;;;;;;;;;;;;;;;;;;;;
0.066;1.33;0.44;0.004;0.008;240;2;680;49;454;0.03;0.03;0.005;5;0.03;5;-70;50;AlTi;;;;;;;;;;;;;;;;;;;;
0.069;1.49;0.43;0.004;0.005;460;2;1;77;294;0.03;0.03;0.005;5;0.03;5;-70;49;AlTi;;;;;;;;;;;;;;;;;;;;
0.071;1.44;0.36;0.007;0.005;460;2;67;94;373;0.03;0.03;0.005;5;0.03;5;-70;26;AlTi;;;;;;;;;;;;;;;;;;;;
0.071;1.39;0.42;0.007;0.005;420;2;150;65;446;0.03;0.03;0.005;5;0.03;5;-70;36;AlTi;;;;;;;;;;;;;;;;;;;;
0.071;1.44;0.52;0.005;0.005;460;2;300;67;466;0.03;0.03;0.005;5;0.03;5;-70;18;AlTi;;;;;;;;;;;;;;;;;;;;
0.069;1.41;0.54;0.005;0.005;460;2;420;58;439;0.03;0.03;0.005;5;0.03;5;-70;15;AlTi;;;;;;;;;;;;;;;;;;;;
0.067;1.40;0.57;0.005;0.005;450;2;500;60;451;0.03;0.03;0.005;5;0.03;5;-70;38;AlTi;;;;;;;;;;;;;;;;;;;;
0.073;0.64;0.34;0.008;0.007;7;2;5;63;450;0.03;0.03;0.005;5;0.03;5;-70;29;AMoTi;;;;;;;;;;;;;;;;;;;;
0.073;0.64;0.35;0.005;0.004;38;2;5;77;428;0.03;0.03;0.005;5;0.03;5;-70;27;AMoTi;;;;;;;;;;;;;;;;;;;;
0.074;0.67;0.35;0.008;0.007;95;2;5;73;384;0.03;0.03;0.005;5;0.03;5;-70;11;AMoTi;;;;;;;;;;;;;;;;;;;;
0.078;0.68;0.38;0.009;0.007;160;2;5;69;340;0.03;0.03;0.005;5;0.03;5;-70;12;AMoTi;;;;;;;;;;;;;;;;;;;;
0.079;0.73;0.44;0.006;0.008;240;2;5;69;290;0.03;0.03;0.005;5;0.03;5;-70;9;AMoTi;;;;;;;;;;;;;;;;;;;;
0.073;0.66;0.31;0.006;0.008;5;2;5;79;430;0.03;0.03;0.240;5;0.03;5;-70;76;AMoTi;;;;;;;;;;;;;;;;;;;;
0.069;0.68;0.33;0.006;0.008;36;2;5;67;395;0.03;0.03;0.240;5;0.03;5;-70;62;AMoTi;;;;;;;;;;;;;;;;;;;;
0.070;0.66;0.31;0.005;0.007;87;2;5;66;364;0.03;0.03;0.240;5;0.03;5;-70;15;AMoTi;;;;;;;;;;;;;;;;;;;;
0.073;0.68;0.37;0.005;0.008;180;2;5;68;318;0.03;0.03;0.230;5;0.03;5;-70;10;AMoTi;;;;;;;;;;;;;;;;;;;;
0.078;0.73;0.42;0.005;0.009;220;2;5;70;276;0.03;0.03;0.230;5;0.03;5;-70;11;AMoTi;;;;;;;;;;;;;;;;;;;;
0.077;0.66;0.30;0.007;0.007;5;2;5;74;454;0.03;0.03;0.500;5;0.03;5;-70;39;AMoTi;;;;;;;;;;;;;;;;;;;;
0.073;0.66;0.34;0.007;0.007;42;2;5;70;433;0.03;0.03;0.500;5;0.03;5;-70;12;AMoTi;;;;;;;;;;;;;;;;;;;;
0.074;0.67;0.33;0.007;0.007;94;2;5;71;392;0.03;0.03;0.510;5;0.03;5;-70;9;AMoTi;;;;;;;;;;;;;;;;;;;;
0.079;0.70;0.39;0.006;0.007;170;2;5;67;322;0.03;0.03;0.510;5;0.03;5;-70;10;AMoTi;;;;;;;;;;;;;;;;;;;;
0.083;0.72;0.44;0.005;0.006;270;2;5;72;278;0.03;0.03;0.500;5;0.03;5;-70;15;AMoTi;;;;;;;;;;;;;;;;;;;;
0.075;0.63;0.30;0.008;0.008;5;2;5;80;438;0.03;0.03;1.030;5;0.03;5;-70;20;AMoTi;;;;;;;;;;;;;;;;;;;;
0.072;0.66;0.32;0.007;0.007;40;2;5;76;411;0.03;0.03;1.030;5;0.03;5;-70;22;AMoTi;;;;;;;;;;;;;;;;;;;;
0.075;0.67;0.32;0.007;0.007;95;2;5;78;383;0.03;0.03;1.010;5;0.03;5;-70;8;AMoTi;;;;;;;;;;;;;;;;;;;;
0.080;0.69;0.38;0.007;0.006;170;2;5;83;307;0.03;0.03;1.020;5;0.03;5;-70;10;AMoTi;;;;;;;;;;;;;;;;;;;;
0.081;0.71;0.45;0.006;0.007;280;2;5;78;262;0.03;0.03;1.030;5;0.03;5;-70;9;AMoTi;;;;;;;;;;;;;;;;;;;;
0.073;0.64;0.34;0.008;0.007;7;2;5;63;450;0.03;0.03;0.005;5;0.03;5;-70;29;ANiTi;;;;;;;;;;;;;;;;;;;;
0.073;0.64;0.35;0.005;0.004;38;2;5;77;428;0.03;0.03;0.005;5;0.03;5;-70;27;ANiTi;;;;;;;;;;;;;;;;;;;;
0.074;0.67;0.35;0.008;0.007;95;2;5;73;384;0.03;0.03;0.005;5;0.03;5;-70;11;ANiTi;;;;;;;;;;;;;;;;;;;;
0.078;0.68;0.38;0.009;0.007;160;2;5;69;340;0.03;0.03;0.005;5;0.03;5;-70;12;ANiTi;;;;;;;;;;;;;;;;;;;;
0.079;0.73;0.44;0.006;0.008;240;2;6;69;290;0.03;0.03;0.005;5;0.03;5;-70;9;ANiTi;;;;;;;;;;;;;;;;;;;;
0.064;0.63;0.30;0.006;0.008;5;2;7;86;473;0.03;0.92;0.005;5;0.03;5;-70;81;ANiTi;;;;;;;;;;;;;;;;;;;;
0.063;0.65;0.31;0.006;0.009;38;2;8;91;472;0.03;0.88;0.005;5;0.03;5;-70;80;ANiTi;;;;;;;;;;;;;;;;;;;;
0.067;0.64;0.34;0.006;0.008;96;2;9;79;409;0.03;0.87;0.005;5;0.03;5;-70;34;ANiTi;;;;;;;;;;;;;;;;;;;;
0.070;0.67;0.34;0.005;0.008;165;2;10;79;342;0.03;0.89;0.005;5;0.03;5;-70;26;ANiTi;;;;;;;;;;;;;;;;;;;;
0.070;0.66;0.40;0.005;0.010;240;2;11;75;310;0.03;0.89;0.005;5;0.03;5;-70;31;ANiTi;;;;;;;;;;;;;;;;;;;;
0.065;0.61;0.26;0.007;0.007;5;2;12;72;488;0.03;2.14;0.005;5;0.03;5;-70;87;ANiTi;;;;;;;;;;;;;;;;;;;;
0.064;0.61;0.27;0.007;0.007;32;2;13;72;454;0.03;2.17;0.005;5;0.03;5;-70;131;ANiTi;;;;;;;;;;;;;;;;;;;;
0.064;0.60;0.27;0.006;0.007;80;2;14;64;427;0.03;2.13;0.005;5;0.03;5;-70;113;ANiTi;;;;;;;;;;;;;;;;;;;;
0.070;0.64;0.31;0.006;0.007;150;2;15;68;345;0.03;2.10;0.005;5;0.03;5;-70;106;ANiTi;;;;;;;;;;;;;;;;;;;;
0.074;0.63;0.36;0.006;0.006;220;2;16;70;307;0.03;2.04;0.005;5;0.03;5;-70;92;ANiTi;;;;;;;;;;;;;;;;;;;;
0.062;0.62;0.29;0.007;0.007;6;2;17;72;500;0.03;3.01;0.005;5;0.03;5;-70;90;ANiTi;;;;;;;;;;;;;;;;;;;;
0.057;0.65;0.30;0.007;0.007;36;2;18;72;460;0.03;3.03;0.005;5;0.03;5;-70;128;ANiTi;;;;;;;;;;;;;;;;;;;;
0.059;0.63;0.31;0.007;0.007;82;2;19;64;426;0.03;3.00;0.005;5;0.03;5;-70;112;ANiTi;;;;;;;;;;;;;;;;;;;;
0.065;0.65;0.35;0.007;0.006;150;2;20;68;384;0.03;3.00;0.005;5;0.03;5;-70;116;ANiTi;;;;;;;;;;;;;;;;;;;;
0.069;0.67;0.39;0.006;0.011;220;2;21;70;328;0.03;2.96;0.005;5;0.03;5;-70;115;ANiTi;;;;;;;;;;;;;;;;;;;;
0.054;0.66;0.31;0.007;0.007;8;2;22;58;495;0.03;5.37;0.005;5;0.03;5;-70;89;ANiTi;;;;;;;;;;;;;;;;;;;;
0.057;0.66;0.32;0.007;0.008;48;2;23;65;469;0.03;5.43;0.005;5;0.03;5;-70;98;ANiTi;;;;;;;;;;;;;;;;;;;;
0.058;0.62;0.30;0.007;0.007;107;2;24;60;412;0.03;5.38;0.005;5;0.03;5;-70;114;ANiTi;;;;;;;;;;;;;;;;;;;;
0.063;0.66;0.35;0.006;0.006;177;2;25;67;340;0.03;5.48;0.005;5;0.03;5;-70;103;ANiTi;;;;;;;;;;;;;;;;;;;;
0.063;0.65;0.37;0.006;0.007;236;2;5;79;318;0.03;5.45;0.005;5;0.03;5;-70;111;ANiTi;;;;;;;;;;;;;;;;;;;;
0.063;0.64;0.36;0.007;0.007;5;2;5;62;479;0.03;0.03;0.005;5;0.03;5;-70;42;ACoNb;;;;;;;;;;;;;;;;;;;;
0.061;0.64;0.35;0.007;0.011;5;2;5;71;489;0.03;0.03;0.005;5;0.03;92;-70;21;ACoNb;;;;;;;;;;;;;;;;;;;;
0.061;0.66;0.34;0.007;0.008;5;2;5;66;483;0.03;0.03;0.005;5;0.03;210;-70;24;ACoNb;;;;;;;;;;;;;;;;;;;;
0.064;0.66;0.32;0.008;0.009;5;2;5;73;500;0.03;0.03;0.005;5;0.03;430;-70;5;ACoNb;;;;;;;;;;;;;;;;;;;;
0.062;0.67;0.33;0.008;0.011;5;2;5;77;497;0.03;0.03;0.005;5;0.03;900;-70;7;ACoNb;;;;;;;;;;;;;;;;;;;;
0.070;1.59;0.33;0.006;0.007;5;2;5;93;448;0.03;0.03;0.005;5;0.03;5;-70;11;ACoNb;;;;;;;;;;;;;;;;;;;;
0.070;1.54;0.31;0.007;0.008;5;2;5;83;443;0.03;0.03;0.005;5;0.03;120;-70;27;ACoNb;;;;;;;;;;;;;;;;;;;;
0.070;1.55;0.30;0.007;0.008;5;2;5;100;453;0.03;0.03;0.005;5;0.03;240;-70;27;ACoNb;;;;;;;;;;;;;;;;;;;;
0.069;1.57;0.30;0.007;0.008;5;2;5;74;459;0.03;0.03;0.005;5;0.03;460;-70;19;ACoNb;;;;;;;;;;;;;;;;;;;;
0.068;1.56;0.31;0.007;0.009;5;2;5;75;422;0.03;0.03;0.005;5;0.03;960;-70;10;ACoNb;;;;;;;;;;;;;;;;;;;;
0.063;0.64;0.36;0.007;0.007;5;2;5;62;479;0.03;0.03;0.005;5;0.03;5;-70;42;ACoV;;;;;;;;;;;;;;;;;;;;
0.065;0.65;0.32;0.008;0.008;5;2;5;57;449;0.03;0.03;0.005;190;0.03;5;-70;46;ACoV;;;;;;;;;;;;;;;;;;;;
0.063;0.67;0.30;0.007;0.008;5;2;5;81;459;0.03;0.03;0.005;400;0.03;5;-70;38;ACoV;;;;;;;;;;;;;;;;;;;;
0.064;0.64;0.32;0.007;0.008;5;2;5;78;469;0.03;0.03;0.005;590;0.03;5;-70;38;ACoV;;;;;;;;;;;;;;;;;;;;
0.065;0.65;0.32;0.007;0.008;5;2;5;72;463;0.03;0.03;0.005;790;0.03;5;-70;28;ACoV;;;;;;;;;;;;;;;;;;;;
0.068;1.46;0.29;0.007;0.009;5;2;5;69;435;0.03;0.03;0.005;250;0.03;5;-70;32;ACoV;;;;;;;;;;;;;;;;;;;;
0.067;1.47;0.29;0.007;0.008;5;2;5;74;430;0.03;0.03;0.005;410;0.03;5;-70;47;ACoV;;;;;;;;;;;;;;;;;;;;
0.068;1.48;0.30;0.007;0.009;5;2;5;70;421;0.03;0.03;0.005;610;0.03;5;-70;66;ACoV;;;;;;;;;;;;;;;;;;;;
0.064;1.46;0.29;0.006;0.009;5;2;5;80;457;0.03;0.03;0.005;830;0.03;5;-70;40;ACoV;;;;;;;;;;;;;;;;;;;;
0.073;0.64;0.34;0.008;0.007;7;2;5;63;450;0.03;0.03;0.005;5;0.03;5;-70;42;AoPlus;;;;;;;;;;;;;;;;;;;;
0.064;0.63;0.30;0.006;0.008;5;2;5;70;473;0.03;0.92;0.005;5;0.03;5;-70;81;AoPlus;;;;;;;;;;;;;;;;;;;;
0.065;0.61;0.26;0.007;0.007;5;2;5;86;488;0.03;2.14;0.005;5;0.03;5;-70;87;AoPlus;;;;;;;;;;;;;;;;;;;;
0.062;0.62;0.29;0.007;0.007;6;2;5;72;500;0.03;3.01;0.005;5;0.03;5;-70;90;AoPlus;;;;;;;;;;;;;;;;;;;;
0.070;0.66;0.31;0.006;0.008;5;2;5;79;430;0.03;0.03;0.240;5;0.03;5;-70;76;AoPlus;;;;;;;;;;;;;;;;;;;;
0.073;0.66;0.34;0.007;0.007;5;2;5;75;454;0.03;0.03;0.500;5;0.03;5;-70;39;AoPlus;;;;;;;;;;;;;;;;;;;;
0.075;0.63;0.30;0.008;0.008;5;2;5;80;438;0.03;0.03;1.030;5;0.03;5;-70;20;AoPlus;;;;;;;;;;;;;;;;;;;;
0.070;0.65;0.35;0.008;0.010;5;2;5;78;504;1.01;0.03;0.005;5;0.03;5;-70;21;AoPlus;;;;;;;;;;;;;;;;;;;;
0.074;0.58;0.25;0.008;0.010;4;2;5;89;500;1.59;0.03;0.005;5;0.03;5;-70;3;AoPlus;;;;;;;;;;;;;;;;;;;;
0.068;0.62;0.28;0.008;0.007;5;2;5;73;477;0.03;0.03;0.005;5;0.5;5;-70;81;AoPlus;;;;;;;;;;;;;;;;;;;;
0.065;0.62;0.30;0.007;0.009;4;2;5;72;519;0.03;0.03;0.005;5;1.03;5;-70;64;AoPlus;;;;;;;;;;;;;;;;;;;;
0.064;0.64;0.32;0.007;0.008;4;2;5;60;498;0.03;0.03;0.005;5;1.60;5;-70;10;AoPlus;;;;;;;;;;;;;;;;;;;;
0.073;0.64;0.34;0.008;0.007;7;2;5;63;450;0.03;0.03;0.005;5;0.03;5;-70;29;AO-Ti;;;;;;;;;;;;;;;;;;;;
0.073;0.64;0.35;0.005;0.004;38;2;5;77;428;0.03;0.03;0.005;5;0.03;5;-70;27;AO-Ti;;;;;;;;;;;;;;;;;;;;
0.074;0.67;0.35;0.008;0.007;95;2;5;73;384;0.03;0.03;0.005;5;0.03;5;-70;11;AO-Ti;;;;;;;;;;;;;;;;;;;;
0.078;0.68;0.38;0.009;0.007;160;2;5;69;340;0.03;0.03;0.005;5;0.03;5;-70;12;AO-Ti;;;;;;;;;;;;;;;;;;;;
0.079;0.73;0.44;0.006;0.008;240;2;5;69;290;0.03;0.03;0.005;5;0.03;5;-70;9;AO-Ti;;;;;;;;;;;;;;;;;;;;
0.067;0.62;0.31;0.005;0.004;5;2;5;61;389;0.03;0.03;0.005;5;0.03;5;-70;62;AO-Ti;;;;;;;;;;;;;;;;;;;;
0.068;0.63;0.29;0.005;0.005;32;2;5;67;374;0.03;0.03;0.005;5;0.03;5;-70;49;AO-Ti;;;;;;;;;;;;;;;;;;;;
0.066;0.58;0.21;0.005;0.005;75;2;5;54;363;0.03;0.03;0.005;5;0.03;5;-70;19;AO-Ti;;;;;;;;;;;;;;;;;;;;
0.066;0.56;0.21;0.004;0.005;120;2;5;63;362;0.03;0.03;0.005;5;0.03;5;-70;14;AO-Ti;;;;;;;;;;;;;;;;;;;;
0.064;0.54;0.21;0.005;0.005;150;2;5;65;352;0.03;0.03;0.005;5;0.03;5;-70;7;AO-Ti;;;;;;;;;;;;;;;;;;;;
0.070;0.59;0.37;0.004;0.005;2;2;5;45;298;0.03;0.03;0.005;5;0.03;5;-70;90;AO-Ti;;;;;;;;;;;;;;;;;;;;
0.068;0.59;0.37;0.004;0.007;51;2;5;52;283;0.03;0.03;0.005;5;0.03;5;-70;32;AO-Ti;;;;;;;;;;;;;;;;;;;;
0.053;0.56;0.27;0.003;0.005;75;2;5;52;301;0.03;0.03;0.005;5;0.03;5;-70;66;AO-Ti;;;;;;;;;;;;;;;;;;;;
0.067;0.51;0.21;0.004;0.005;110;2;5;64;307;0.03;0.03;0.005;5;0.03;5;-70;26;AO-Ti;;;;;;;;;;;;;;;;;;;;
0.065;0.48;0.20;0.003;0.004;150;2;5;59;285;0.03;0.03;0.005;5;0.03;5;-70;10;AO-Ti;;;;;;;;;;;;;;;;;;;;
0.073;0.64;0.35;0.005;0.004;38;2;5;77;428;0.03;0.03;0.005;5;0.03;5;-70;27;Aplus;;;;;;;;;;;;;;;;;;;;
0.063;0.65;0.31;0.006;0.009;38;2;5;85;472;0.03;0.88;0.005;5;0.03;5;-70;80;Aplus;;;;;;;;;;;;;;;;;;;;
0.064;0.61;0.27;0.007;0.007;32;2;5;91;454;0.03;2.17;0.005;5;0.03;5;-70;131;Aplus;;;;;;;;;;;;;;;;;;;;
0.067;0.65;0.30;0.007;0.007;36;2;5;72;460;0.03;3.03;0.005;5;0.03;5;-70;128;Aplus;;;;;;;;;;;;;;;;;;;;
0.069;0.68;0.33;0.006;0.008;36;2;5;67;395;0.03;0.03;0.240;5;0.03;5;-70;62;Aplus;;;;;;;;;;;;;;;;;;;;
0.073;0.66;0.34;0.007;0.007;42;2;5;70;433;0.03;0.03;0.500;5;0.03;5;-70;12;Aplus;;;;;;;;;;;;;;;;;;;;
0.072;0.66;0.32;0.007;0.007;40;2;5;76;411;0.03;0.03;1.030;5;0.03;5;-70;22;Aplus;;;;;;;;;;;;;;;;;;;;
0.077;0.66;0.32;0.008;0.010;34;2;5;75;457;1.03;0.03;0.005;5;0.03;5;-70;15;Aplus;;;;;;;;;;;;;;;;;;;;
0.078;0.62;0.26;0.007;0.005;29;2;5;100;472;1.60;0.03;0.005;5;0.03;5;-70;3;Aplus;;;;;;;;;;;;;;;;;;;;
0.078;0.64;0.28;0.008;0.007;42;2;5;95;482;2.15;0.03;0.005;5;0.03;5;-70;10;Aplus;;;;;;;;;;;;;;;;;;;;
